sessionStart,sessionEnd,durationHours
2025-03-15T19:10:44.580Z,2025-03-15T19:12:21.094Z,0.03
2025-03-15T19:12:21.094Z,2025-03-15T19:13:39.869Z,0.02
2025-03-15T19:13:39.869Z,2025-03-15T19:17:22.018Z,0.06
2025-03-15T19:17:22.018Z,2025-03-15T19:19:33.810Z,0.04
2025-03-15T19:19:33.810Z,2025-03-15T19:22:24.906Z,0.05
2025-03-15T19:22:24.906Z,2025-03-15T19:23:41.191Z,0.02
2025-03-15T19:23:41.191Z,2025-03-15T19:27:10.635Z,0.06
2025-03-15T19:27:10.635Z,2025-03-15T19:27:23.460Z,0.00
2025-03-15T19:27:23.460Z,2025-03-15T19:29:11.675Z,0.03
2025-03-15T19:29:11.675Z,2025-03-15T19:29:31.993Z,0.01
2025-03-15T19:29:31.993Z,2025-03-15T19:30:33.130Z,0.02
2025-03-15T19:30:33.130Z,2025-03-15T19:37:14.403Z,0.11
2025-03-15T19:37:14.403Z,2025-03-15T19:37:47.700Z,0.01
2025-03-15T19:37:47.700Z,2025-03-15T19:38:18.285Z,0.01
2025-03-15T19:38:18.285Z,2025-03-15T19:39:38.250Z,0.02
2025-03-15T19:39:38.250Z,2025-03-15T19:42:57.682Z,0.06
2025-03-15T19:42:57.682Z,2025-03-15T19:44:12.578Z,0.02
2025-03-15T19:44:12.578Z,2025-03-15T19:44:19.694Z,0.00
2025-03-15T19:44:19.694Z,2025-03-15T19:44:58.768Z,0.01
2025-03-15T19:44:58.768Z,2025-03-15T19:45:53.254Z,0.02
2025-03-15T19:45:53.254Z,2025-03-15T19:46:04.829Z,0.00
2025-03-15T19:46:04.829Z,2025-03-15T19:47:18.782Z,0.02
2025-03-15T19:47:18.782Z,2025-03-15T19:47:43.998Z,0.01
2025-03-15T19:47:43.998Z,2025-03-15T19:48:09.733Z,0.01
2025-03-15T19:48:09.733Z,2025-03-15T19:48:13.326Z,0.00
2025-03-15T19:48:13.326Z,2025-03-15T19:50:37.319Z,0.04
2025-03-15T19:50:37.319Z,2025-03-15T20:01:14.723Z,0.18
2025-03-15T20:01:14.723Z,2025-03-15T20:02:12.612Z,0.02
2025-03-15T20:02:12.612Z,2025-03-15T20:04:03.995Z,0.03
2025-03-15T20:04:03.995Z,2025-03-15T20:05:20.301Z,0.02
2025-03-15T20:05:20.301Z,2025-03-15T20:05:23.407Z,0.00
2025-03-15T20:05:23.407Z,2025-03-15T20:11:01.805Z,0.09
2025-03-15T20:11:01.805Z,2025-03-15T20:15:54.745Z,0.08
2025-03-15T20:15:54.745Z,2025-03-15T20:16:45.971Z,0.01
2025-03-15T20:16:45.971Z,2025-03-15T20:17:28.778Z,0.01
2025-03-15T20:17:28.778Z,2025-03-15T20:17:31.377Z,0.00
2025-03-15T20:17:31.377Z,2025-03-15T20:19:04.376Z,0.03
2025-03-15T20:19:04.376Z,2025-03-15T20:21:18.804Z,0.04
2025-03-15T20:21:18.804Z,2025-03-15T20:48:13.946Z,0.45
2025-03-15T20:48:13.946Z,2025-03-15T20:48:27.918Z,0.00
2025-03-15T20:48:27.918Z,2025-03-15T20:57:43.059Z,0.15
2025-03-15T20:57:43.059Z,2025-03-16T00:25:34.023Z,3.46
2025-03-16T00:25:34.023Z,2025-03-16T00:38:16.639Z,0.21
